window_id,mode,score
jiufu_9eb853207f9233_first30,mean,0.16317730618409387
jiufu_9eb853207f9233_first30,max,0.06333512490191684
jiufu_9eb853207f9233_first30,min,0.2315765148318208
jiufu_9eb853207f9233_first30,left,0.27408557375748666
jiufu_9eb853207f9233_first30,right,0.05463277832743932
jiufu_8c114c09325c47_first30,mean,0.05856793900262589
jiufu_8c114c09325c47_first30,max,0.03436258911226279
jiufu_8c114c09325c47_first30,min,0.06466447259518218
jiufu_8c114c09325c47_first30,left,0.03514174597311512
jiufu_8c114c09325c47_first30,right,0.06207462479509006
jiufu_494e84a71f0d53_first30,mean,0.07110039193853551
jiufu_494e84a71f0d53_first30,max,0.09810394812812859
jiufu_494e84a71f0d53_first30,min,0.04532603713176943
jiufu_494e84a71f0d53_first30,left,0.06028172430017592
jiufu_494e84a71f0d53_first30,right,0.03893748837343787
jiufu_ce59136a4ecc21_first30,mean,0.25693323561774933
jiufu_ce59136a4ecc21_first30,max,0.2756968790322061
jiufu_ce59136a4ecc21_first30,min,0.18755063417910514
jiufu_ce59136a4ecc21_first30,left,0.14852526615136993
jiufu_ce59136a4ecc21_first30,right,0.2412385005111832
jiufu_8953d49083882b_first30,mean,0.09918004890660416
jiufu_8953d49083882b_first30,max,0.06762716943620284
jiufu_8953d49083882b_first30,min,0.1003315451934434
jiufu_8953d49083882b_first30,left,0.04718664262618395
jiufu_8953d49083882b_first30,right,0.10751693073597775
jiufu_5eaab17afa3dcc_first30,mean,0.09543109453768689
jiufu_5eaab17afa3dcc_first30,max,0.08677032620411482
jiufu_5eaab17afa3dcc_first30,min,0.095331903589729
jiufu_5eaab17afa3dcc_first30,left,0.08122625737580837
jiufu_5eaab17afa3dcc_first30,right,0.09249678946113653
jiufu_577eb87b4ec0fa_first30,mean,0.05856395624315899
jiufu_577eb87b4ec0fa_first30,max,0.05257363804000312
jiufu_577eb87b4ec0fa_first30,min,0.05128245765675461
jiufu_577eb87b4ec0fa_first30,left,0.09402181454454503
jiufu_577eb87b4ec0fa_first30,right,0.04294092520376108
jiufu_ac7d209f2a6aec_first30,mean,0.1379978659940231
jiufu_ac7d209f2a6aec_first30,max,0.14894383343881523
jiufu_ac7d209f2a6aec_first30,min,0.1373844127471118
jiufu_ac7d209f2a6aec_first30,left,0.11049778690916759
jiufu_ac7d209f2a6aec_first30,right,0.13019467388445852
jiufu_45e262858c1edf_first30,mean,0.0410646991965719
jiufu_45e262858c1edf_first30,max,0.09839529113908416
jiufu_45e262858c1edf_first30,min,0.031075975337608846
jiufu_45e262858c1edf_first30,left,0.017161952749473845
jiufu_45e262858c1edf_first30,right,0.08503043351333883
jiufu_59f7f9462f2c30_first30,mean,0.03278535856041309
jiufu_59f7f9462f2c30_first30,max,0.05687379609772512
jiufu_59f7f9462f2c30_first30,min,0.026072365474910823
jiufu_59f7f9462f2c30_first30,left,0.03658070737840374
jiufu_59f7f9462f2c30_first30,right,0.03238184841285742
jiufu_1f327de387886e_first30,mean,0.082803229796117
jiufu_1f327de387886e_first30,max,0.07345092425681742
jiufu_1f327de387886e_first30,min,0.06603005348742622
jiufu_1f327de387886e_first30,left,0.053808906962608344
jiufu_1f327de387886e_first30,right,0.06643617256310796
jiufu_6454a9e613172b_first30,mean,0.13645246609561984
jiufu_6454a9e613172b_first30,max,0.19911408902065664
jiufu_6454a9e613172b_first30,min,0.09590981393814943
jiufu_6454a9e613172b_first30,left,0.12782105858987525
jiufu_6454a9e613172b_first30,right,0.07039424210769028
jiufu_80fa8dbe195b66_first30,mean,0.193939578847718
jiufu_80fa8dbe195b66_first30,max,0.16058841183570327
jiufu_80fa8dbe195b66_first30,min,0.18138276220664204
jiufu_80fa8dbe195b66_first30,left,0.13501075437251336
jiufu_80fa8dbe195b66_first30,right,0.12506280286570456
jiufu_012d9efb7d8d4c_first30,mean,0.04125112498203688
jiufu_012d9efb7d8d4c_first30,max,0.06378303597386818
jiufu_012d9efb7d8d4c_first30,min,0.0359640968616466
jiufu_012d9efb7d8d4c_first30,left,0.03879423739173862
jiufu_012d9efb7d8d4c_first30,right,0.042181087437068124
jiufu_5623dc263f1364_first30,mean,0.05803639008645506
jiufu_5623dc263f1364_first30,max,0.06160413890610229
jiufu_5623dc263f1364_first30,min,0.050657926056616745
jiufu_5623dc263f1364_first30,left,0.04314957192620971
jiufu_5623dc263f1364_first30,right,0.06304625085173567
jiufu_8254fd394c755d_first30,mean,0.06942610136640304
jiufu_8254fd394c755d_first30,max,0.11069831339965376
jiufu_8254fd394c755d_first30,min,0.06478232295985734
jiufu_8254fd394c755d_first30,left,0.06750771073194886
jiufu_8254fd394c755d_first30,right,0.06807419996426473
jiufu_33ff2c90bde0a7_first30,mean,0.11943809724704421
jiufu_33ff2c90bde0a7_first30,max,0.10824382249757512
jiufu_33ff2c90bde0a7_first30,min,0.07609326232829286
jiufu_33ff2c90bde0a7_first30,left,0.0971358285398222
jiufu_33ff2c90bde0a7_first30,right,0.09442488987588014
jiufu_c37db5cf8c7d4e_first30,mean,0.06424430705816447
jiufu_c37db5cf8c7d4e_first30,max,0.060716991835004896
jiufu_c37db5cf8c7d4e_first30,min,0.05436845933276435
jiufu_c37db5cf8c7d4e_first30,left,0.03939692950007501
jiufu_c37db5cf8c7d4e_first30,right,0.050275676889954914
jiufu_8ac17622997976_first30,mean,0.12318370657786068
jiufu_8ac17622997976_first30,max,0.1431589880715467
jiufu_8ac17622997976_first30,min,0.0803458559971194
jiufu_8ac17622997976_first30,left,0.07776003349401617
jiufu_8ac17622997976_first30,right,0.07859435198925765
jiufu_ee2427b1f91c14_first30,mean,0.11372929902172613
jiufu_ee2427b1f91c14_first30,max,0.14011629634688003
jiufu_ee2427b1f91c14_first30,min,0.09094767066223966
jiufu_ee2427b1f91c14_first30,left,0.14745383392544334
jiufu_ee2427b1f91c14_first30,right,0.04142304916066126
jiufu_d40d50640e24a1_first30,mean,0.18891582613815386
jiufu_d40d50640e24a1_first30,max,0.14170305077022785
jiufu_d40d50640e24a1_first30,min,0.20004340141110294
jiufu_d40d50640e24a1_first30,left,0.22975730092258279
jiufu_d40d50640e24a1_first30,right,0.13424752534430243
jiufu_e20abde4e3a043_first30,mean,0.14616460463184142
jiufu_e20abde4e3a043_first30,max,0.2402250705898584
jiufu_e20abde4e3a043_first30,min,0.08158788709444209
jiufu_e20abde4e3a043_first30,left,0.16790648321058402
jiufu_e20abde4e3a043_first30,right,0.07309950543433673
jiufu_6c914b8beaa069_first30,mean,0.043903294181858045
jiufu_6c914b8beaa069_first30,max,0.05187983350030609
jiufu_6c914b8beaa069_first30,min,0.06514513240059659
jiufu_6c914b8beaa069_first30,left,0.05370102690073233
jiufu_6c914b8beaa069_first30,right,0.09854777542647285
jiufu_fffa829b4cfc5f_first30,mean,0.0762783144662739
jiufu_fffa829b4cfc5f_first30,max,0.06966466184588176
jiufu_fffa829b4cfc5f_first30,min,0.07065497995342664
jiufu_fffa829b4cfc5f_first30,left,0.07767988560731026
jiufu_fffa829b4cfc5f_first30,right,0.09119364924634027
jiufu_39742bec07007b_first30,mean,0.0564628230341417
jiufu_39742bec07007b_first30,max,0.11907402912074283
jiufu_39742bec07007b_first30,min,0.054195111043896536
jiufu_39742bec07007b_first30,left,0.04950864022412463
jiufu_39742bec07007b_first30,right,0.03282104257616122
jiufu_a7f96cc7661e4a_first30,mean,0.06801675985552319
jiufu_a7f96cc7661e4a_first30,max,0.07069689642801023
jiufu_a7f96cc7661e4a_first30,min,0.059411190091855776
jiufu_a7f96cc7661e4a_first30,left,0.06599134733123806
jiufu_a7f96cc7661e4a_first30,right,0.06388152537787771
jiufu_cae153a2ef6cb6_first30,mean,0.07321826067290381
jiufu_cae153a2ef6cb6_first30,max,0.06560704710916888
