thermal_file_id,thermal_path,rgb_file_id,rgb_path,filename_clock_difference_seconds,same_cow_verified,synchronization_offset_seconds,synchronization_status
jiufu_a45d837f891e44,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T094241-605.MP4,jiufu_1a70f44faa3095,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_094201.mp4,-40.0,,,candidate_only_not_verified
jiufu_a45d837f891e44,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T094241-605.MP4,jiufu_44e5fa7f4deb36,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_094214.mp4,-27.0,,,candidate_only_not_verified
jiufu_a45d837f891e44,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T094241-605.MP4,jiufu_41d33e5cf80be7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_094253.mp4,12.0,,,candidate_only_not_verified
jiufu_3a993354ebd1c7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T094536-1634.MP4,jiufu_995e3625ce59b7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_094542.mp4,6.0,,,candidate_only_not_verified
jiufu_2320c69c168a7a,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T094737-677.MP4,jiufu_f56f39202e3b5b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_094743.mp4,6.0,,,candidate_only_not_verified
jiufu_13f838ff73e069,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T094901-683.MP4,jiufu_f56f39202e3b5b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_094743.mp4,-78.0,,,candidate_only_not_verified
jiufu_13f838ff73e069,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T094901-683.MP4,jiufu_ed9499263b5d2e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_094921.mp4,20.0,,,candidate_only_not_verified
jiufu_a9f2015e2f2b31,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T095530-655.MP4,jiufu_d7e41917b0a13f,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_095535.mp4,5.0,,,candidate_only_not_verified
jiufu_34e5b460466c18,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0806\20240806T092243-664.MP4,jiufu_d49f01d45e9f32,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0806\VID_20240806_092249.mp4,6.0,,,candidate_only_not_verified
jiufu_7388b7efc8afb3,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0806\20240806T092522-608.MP4,jiufu_f40fa20578188e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0806\VID_20240806_092528.mp4,6.0,,,candidate_only_not_verified
jiufu_cbc238aa9bbc71,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0806\20240806T092739-A1022249.MP4,jiufu_41f6fd7185719d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0806\VID_20240806_092746.mp4,7.0,,,candidate_only_not_verified
