cohort,method,window_id,tp,fp,fn,precision,recall,f1
R2_complete216,original,jiufu_adb9b6776eb349_first30,15,4,6,0.7894736842105263,0.7142857142857143,0.75
R2_complete216,original,jiufu_d837d576df8e43_first30,6,3,2,0.6666666666666666,0.75,0.7058823529411765
R2_complete216,original,jiufu_281bc808f4d3ff_first30,2,6,11,0.25,0.15384615384615385,0.19047619047619047
R2_complete216,original,jiufu_bb78a10aeab6d5_first30,0,0,15,0.0,0.0,0.0
R2_complete216,original,jiufu_4206de92a27bce_first30,13,2,1,0.8666666666666667,0.9285714285714286,0.896551724137931
R2_complete216,original,jiufu_004d48d055c457_first30,0,0,14,0.0,0.0,0.0
R2_complete216,original,jiufu_43743cb152c168_first30,8,5,7,0.6153846153846154,0.5333333333333333,0.5714285714285714
R2_complete216,original,jiufu_d7498380edb383_first30,3,9,9,0.25,0.25,0.25
R2_complete216,original,jiufu_512d98136d6412_first30,3,11,11,0.21428571428571427,0.21428571428571427,0.21428571428571427
R2_complete216,original,jiufu_7b10e1dbd08a03_first30,0,0,14,0.0,0.0,0.0
R2_complete216,original,jiufu_1b1d8d9b6faec7_first30,2,8,12,0.2,0.14285714285714285,0.16666666666666666
R2_complete216,original,jiufu_1a11fc33fcb6cf_first30,7,7,7,0.5,0.5,0.5
R2_complete216,original,jiufu_993a2261c33ae0_first30,11,4,5,0.7333333333333333,0.6875,0.7096774193548387
R2_complete216,original,jiufu_15023a4d62f18e_first30,18,6,6,0.75,0.75,0.75
R2_complete216,original,jiufu_bcea2687a6b788_first30,9,6,12,0.6,0.42857142857142855,0.5
R2_complete216,original,jiufu_4a3dc560468965_first30,0,0,16,0.0,0.0,0.0
R2_complete216,original,jiufu_af70c3cc180ae2_first30,0,0,7,0.0,0.0,0.0
R2_complete216,original,jiufu_fe965ff4644d07_first30,7,7,7,0.5,0.5,0.5
R2_complete216,original,jiufu_f6bca344b2c8ce_first30,8,10,5,0.4444444444444444,0.6153846153846154,0.5161290322580645
R2_complete216,original,jiufu_ce6ff507b22ee9_first30,6,13,5,0.3157894736842105,0.5454545454545454,0.4
R2_complete216,original,jiufu_075ed4d93c9959_first30,6,3,5,0.6666666666666666,0.5454545454545454,0.6
R2_complete216,original,jiufu_234cbf6b627421_first30,3,1,17,0.75,0.15,0.25
R2_complete216,original,jiufu_0f85cab7ac58ae_first30,11,3,5,0.7857142857142857,0.6875,0.7333333333333333
R2_complete216,original,jiufu_55441b4c6fe974_first30,4,9,8,0.3076923076923077,0.3333333333333333,0.32
R2_complete216,original,jiufu_d074036ef96d31_first30,8,7,5,0.5333333333333333,0.6153846153846154,0.5714285714285714
R2_complete216,original,jiufu_cdaa16888fda03_first30,2,7,7,0.2222222222222222,0.2222222222222222,0.2222222222222222
R2_complete216,original,jiufu_b7ed63dc0d8295_first30,4,11,7,0.26666666666666666,0.36363636363636365,0.3076923076923077
R2_complete216,original,jiufu_7f3b12c4283ff8_first30,0,0,11,0.0,0.0,0.0
R2_complete216,original,jiufu_36d04432159cdf_first30,0,0,10,0.0,0.0,0.0
R2_complete216,original,jiufu_9ddfe0afe06424_first30,7,6,8,0.5384615384615384,0.4666666666666667,0.5
R2_complete216,original,jiufu_7beb44b12a5f36_first30,0,0,8,0.0,0.0,0.0
R2_complete216,center_support,jiufu_aed96a8cd6dde3_first30,2,7,9,0.2222222222222222,0.18181818181818182,0.2
R2_complete216,center_support,jiufu_d57a389e370ce5_first30,15,5,5,0.75,0.75,0.75
R2_complete216,center_support,jiufu_b79d91910dc17a_first30,1,7,12,0.125,0.07692307692307693,0.09523809523809523
R2_complete216,center_support,jiufu_d31bd7d7642ce6_first30,0,0,11,0.0,0.0,0.0
R2_complete216,center_support,jiufu_73db0107967f0e_first30,0,0,5,0.0,0.0,0.0
R2_complete216,center_support,jiufu_8db6ed7f9c3ad8_first30,7,7,5,0.5,0.5833333333333334,0.5384615384615384
R2_complete216,center_support,jiufu_75a484b3f5253b_first30,5,4,2,0.5555555555555556,0.7142857142857143,0.625
R2_complete216,center_support,jiufu_35f0adf19ed368_first30,12,5,8,0.7058823529411765,0.6,0.6486486486486487
R2_complete216,center_support,jiufu_7045c3900be0cc_first30,0,0,9,0.0,0.0,0.0
R2_complete216,center_support,jiufu_21e342957e0fd7_first30,20,0,4,1.0,0.8333333333333334,0.9090909090909091
R2_complete216,center_support,jiufu_36ee658c295629_first30,0,0,13,0.0,0.0,0.0
R2_complete216,center_support,jiufu_c92bd308748a09_first30,7,7,10,0.5,0.4117647058823529,0.45161290322580644
R2_complete216,center_support,jiufu_551d99f2e9c264_first30,3,3,12,0.5,0.2,0.2857142857142857
R2_complete216,center_support,jiufu_c95ae69597cc50_first30,8,2,5,0.8,0.6153846153846154,0.6956521739130435
R2_complete216,center_support,jiufu_94796ccea127be_first30,8,4,5,0.6666666666666666,0.6153846153846154,0.64
R2_complete216,center_support,jiufu_56e83ecf9a14bb_first30,0,0,14,0.0,0.0,0.0
R2_complete216,center_support,jiufu_3ac83315834f77_first30,1,5,6,0.16666666666666666,0.14285714285714285,0.15384615384615385
R2_complete216,center_support,jiufu_c68c62cb67dede_first30,2,9,8,0.18181818181818182,0.2,0.19047619047619047
R2_complete216,center_support,jiufu_3721f7cf5a844c_first30,3,1,3,0.75,0.5,0.6
R2_complete216,center_support,jiufu_65b745e540b8c7_first30,7,4,4,0.6363636363636364,0.6363636363636364,0.6363636363636364
R2_complete216,center_support,jiufu_2e919f7b4ce7d4_first30,0,0,18,0.0,0.0,0.0
R2_complete216,center_support,jiufu_f7266533e3399d_first30,15,2,2,0.8823529411764706,0.8823529411764706,0.8823529411764706
R2_complete216,center_support,jiufu_943fc8675c704c_first30,0,0,9,0.0,0.0,0.0
R2_complete216,center_support,jiufu_bd77cfa7950eaa_first30,5,6,10,0.45454545454545453,0.3333333333333333,0.38461538461538464
R2_complete216,center_support,jiufu_2aaced556ff39d_first30,0,0,8,0.0,0.0,0.0
R2_complete216,center_support,jiufu_90ed4ac916a295_first30,1,0,21,1.0,0.045454545454545456,0.08695652173913043
R2_complete216,center_support,jiufu_cd5eea76388f30_first30,4,3,10,0.5714285714285714,0.2857142857142857,0.38095238095238093
R2_complete216,center_support,jiufu_6cbcb0311b3ebf_first30,5,9,9,0.35714285714285715,0.35714285714285715,0.35714285714285715
R2_complete216,center_support,jiufu_4f7144680fca9d_first30,0,0,18,0.0,0.0,0.0
R2_complete216,center_support,jiufu_6a641dd078f572_first30,9,6,11,0.6,0.45,0.5142857142857142
R2_complete216,center_support,jiufu_edd9eebe6de991_first30,10,7,9,0.5882352941176471,0.5263157894736842,0.5555555555555556
R2_complete216,center_support,jiufu_58c38973aff558_first30,5,4,5,0.5555555555555556,0.5,0.5263157894736842
R2_complete216,center_support,jiufu_665326590feedb_first30,0,3,16,0.0,0.0,0.0
R2_complete216,center_support,jiufu_053d6bd561c20b_first30,0,0,15,0.0,0.0,0.0
R2_complete216,center_support,jiufu_9a14e05c1c184c_first30,0,0,14,0.0,0.0,0.0
R2_complete216,center_support,jiufu_124bf365605cd6_first30,5,3,12,0.625,0.29411764705882354,0.4
R2_complete216,center_support,jiufu_cc565ea0bfa396_first30,6,3,9,0.6666666666666666,0.4,0.5
R2_complete216,center_support,jiufu_0a14da4ad52431_first30,8,5,10,0.6153846153846154,0.4444444444444444,0.5161290322580645
R2_complete216,center_support,jiufu_abada3dda3e8b7_first30,9,4,9,0.6923076923076923,0.5,0.5806451612903226
R2_complete216,center_support,jiufu_0ef3b83bc00130_first30,8,5,9,0.6153846153846154,0.47058823529411764,0.5333333333333333
R2_complete216,center_support,jiufu_c5ff3e35124405_first30,0,0,10,0.0,0.0,0.0
R2_complete216,center_support,jiufu_a6ed80c55f7be6_first30,1,4,2,0.2,0.3333333333333333,0.25
R2_complete216,center_support,jiufu_6fa0bbd661c8bb_first30,9,2,10,0.8181818181818182,0.47368421052631576,0.6
