reference,method,window_id,cluster,tp,fp,fn,precision,recall,f1
R2,frozen,jiufu_6454a9e613172b_first30,A1022182,20,5,3,0.8,0.8695652173913043,0.8333333333333334
R2,direct_roi_only,jiufu_6454a9e613172b_first30,A1022182,20,2,3,0.9090909090909091,0.8695652173913043,0.8888888888888888
R2,frozen,jiufu_6328167f32f25e_first30,1371,0,0,13,0.0,0.0,0.0
R2,direct_roi_only,jiufu_6328167f32f25e_first30,1371,0,0,13,0.0,0.0,0.0
R2,frozen,jiufu_80fa8dbe195b66_first30,353,14,4,8,0.7777777777777778,0.6363636363636364,0.7
R2,direct_roi_only,jiufu_80fa8dbe195b66_first30,353,13,4,9,0.7647058823529411,0.5909090909090909,0.6666666666666666
R2,frozen,jiufu_012d9efb7d8d4c_first30,1213,4,6,15,0.4,0.21052631578947367,0.27586206896551724
R2,direct_roi_only,jiufu_012d9efb7d8d4c_first30,1213,4,5,15,0.4444444444444444,0.21052631578947367,0.2857142857142857
R2,frozen,jiufu_5623dc263f1364_first30,872,8,6,4,0.5714285714285714,0.6666666666666666,0.6153846153846154
R2,direct_roi_only,jiufu_5623dc263f1364_first30,872,10,6,2,0.625,0.8333333333333334,0.7142857142857143
R2,frozen,jiufu_8254fd394c755d_first30,1180,7,5,7,0.5833333333333334,0.5,0.5384615384615384
R2,direct_roi_only,jiufu_8254fd394c755d_first30,1180,6,3,8,0.6666666666666666,0.42857142857142855,0.5217391304347826
R2,frozen,jiufu_33ff2c90bde0a7_first30,872,6,5,2,0.5454545454545454,0.75,0.631578947368421
R2,direct_roi_only,jiufu_33ff2c90bde0a7_first30,872,2,5,6,0.2857142857142857,0.25,0.26666666666666666
R2,frozen,jiufu_c37db5cf8c7d4e_first30,1165,3,3,4,0.5,0.42857142857142855,0.46153846153846156
R2,direct_roi_only,jiufu_c37db5cf8c7d4e_first30,1165,2,3,5,0.4,0.2857142857142857,0.3333333333333333
R2,frozen,jiufu_3f44e994a4ccb7_first30,1145,0,0,21,0.0,0.0,0.0
R2,direct_roi_only,jiufu_3f44e994a4ccb7_first30,1145,0,0,21,0.0,0.0,0.0
R2,frozen,jiufu_58a951a34f7249_first30,A1022182,0,0,16,0.0,0.0,0.0
R2,direct_roi_only,jiufu_58a951a34f7249_first30,A1022182,0,0,16,0.0,0.0,0.0
R2,frozen,jiufu_8ac17622997976_first30,1408,5,5,5,0.5,0.5,0.5
R2,direct_roi_only,jiufu_8ac17622997976_first30,1408,5,6,5,0.45454545454545453,0.5,0.47619047619047616
R2,frozen,jiufu_ee2427b1f91c14_first30,1428,8,6,6,0.5714285714285714,0.5714285714285714,0.5714285714285714
R2,direct_roi_only,jiufu_ee2427b1f91c14_first30,1428,8,5,6,0.6153846153846154,0.5714285714285714,0.5925925925925926
R2,frozen,jiufu_d40d50640e24a1_first30,165,23,6,6,0.7931034482758621,0.7931034482758621,0.7931034482758621
R2,direct_roi_only,jiufu_d40d50640e24a1_first30,165,23,6,6,0.7931034482758621,0.7931034482758621,0.7931034482758621
R2,frozen,jiufu_e20abde4e3a043_first30,1422,14,4,7,0.7777777777777778,0.6666666666666666,0.717948717948718
R2,direct_roi_only,jiufu_e20abde4e3a043_first30,1422,14,3,7,0.8235294117647058,0.6666666666666666,0.7368421052631579
R2,frozen,jiufu_fffa829b4cfc5f_first30,878,5,6,8,0.45454545454545453,0.38461538461538464,0.4166666666666667
R2,direct_roi_only,jiufu_fffa829b4cfc5f_first30,878,8,3,5,0.7272727272727273,0.6153846153846154,0.6666666666666666
R2,frozen,jiufu_39742bec07007b_first30,1146,7,3,13,0.7,0.35,0.4666666666666667
R2,direct_roi_only,jiufu_39742bec07007b_first30,1146,9,1,11,0.9,0.45,0.6
R2,frozen,jiufu_a7f96cc7661e4a_first30,1371,9,5,7,0.6428571428571429,0.5625,0.6
R2,direct_roi_only,jiufu_a7f96cc7661e4a_first30,1371,8,4,8,0.6666666666666666,0.5,0.5714285714285714
R2,frozen,jiufu_f5a7ada186a785_first30,281,7,11,6,0.3888888888888889,0.5384615384615384,0.45161290322580644
R2,direct_roi_only,jiufu_f5a7ada186a785_first30,281,7,9,6,0.4375,0.5384615384615384,0.4827586206896552
R2,frozen,jiufu_8f2aab0fc1ae4b_first30,347,19,11,7,0.6333333333333333,0.7307692307692307,0.6785714285714286
R2,direct_roi_only,jiufu_8f2aab0fc1ae4b_first30,347,19,10,7,0.6551724137931034,0.7307692307692307,0.6909090909090909
R2,frozen,jiufu_b230c11bab398b_first30,1078,0,0,18,0.0,0.0,0.0
R2,direct_roi_only,jiufu_b230c11bab398b_first30,1078,0,0,18,0.0,0.0,0.0
R2,frozen,jiufu_05aaedc28c6708_first30,161,5,6,4,0.45454545454545453,0.5555555555555556,0.5
R2,direct_roi_only,jiufu_05aaedc28c6708_first30,161,3,4,6,0.42857142857142855,0.3333333333333333,0.375
R2,frozen,jiufu_0d1522aef374ec_first30,A1022205,8,6,6,0.5714285714285714,0.5714285714285714,0.5714285714285714
R2,direct_roi_only,jiufu_0d1522aef374ec_first30,A1022205,9,6,5,0.6,0.6428571428571429,0.6206896551724138
R2,frozen,jiufu_2cdb051142d5ab_first30,670,13,1,1,0.9285714285714286,0.9285714285714286,0.9285714285714286
R2,direct_roi_only,jiufu_2cdb051142d5ab_first30,670,12,1,2,0.9230769230769231,0.8571428571428571,0.8888888888888888
R2,frozen,jiufu_d4707a9c23271d_first30,670,11,3,3,0.7857142857142857,0.7857142857142857,0.7857142857142857
R2,direct_roi_only,jiufu_d4707a9c23271d_first30,670,12,1,2,0.9230769230769231,0.8571428571428571,0.8888888888888888
R2,frozen,jiufu_2f0c90ece853b4_first30,710,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
R2,direct_roi_only,jiufu_2f0c90ece853b4_first30,710,15,2,2,0.8823529411764706,0.8823529411764706,0.8823529411764706
R2,frozen,jiufu_57c74728570ec9_first30,A1022211,12,6,8,0.6666666666666666,0.6,0.631578947368421
R2,direct_roi_only,jiufu_57c74728570ec9_first30,A1022211,12,6,8,0.6666666666666666,0.6,0.631578947368421
R2,frozen,jiufu_2fc7ddf8f284e4_first30,627,10,8,9,0.5555555555555556,0.5263157894736842,0.5405405405405406
R2,direct_roi_only,jiufu_2fc7ddf8f284e4_first30,627,12,10,7,0.5454545454545454,0.631578947368421,0.5853658536585366
R2,frozen,jiufu_a04e9f770a2bb9_first30,606,9,11,14,0.45,0.391304347826087,0.4186046511627907
R2,direct_roi_only,jiufu_a04e9f770a2bb9_first30,606,14,6,9,0.7,0.6086956521739131,0.6511627906976745
R2,frozen,jiufu_333df78fe49441_first30,878,11,4,3,0.7333333333333333,0.7857142857142857,0.7586206896551724
R2,direct_roi_only,jiufu_333df78fe49441_first30,878,12,2,2,0.8571428571428571,0.8571428571428571,0.8571428571428571
R2,frozen,jiufu_4263d1ee2b7d38_first30,A1022211,19,1,3,0.95,0.8636363636363636,0.9047619047619048
R2,direct_roi_only,jiufu_4263d1ee2b7d38_first30,A1022211,20,2,2,0.9090909090909091,0.9090909090909091,0.9090909090909091
R2,frozen,jiufu_7cb985938d0a6a_first30,659,2,10,10,0.16666666666666666,0.16666666666666666,0.16666666666666666
R2,direct_roi_only,jiufu_7cb985938d0a6a_first30,659,2,9,10,0.18181818181818182,0.16666666666666666,0.17391304347826086
R2,frozen,jiufu_7c448f9ef64639_first30,A1021135,8,8,7,0.5,0.5333333333333333,0.5161290322580645
R2,direct_roi_only,jiufu_7c448f9ef64639_first30,A1021135,7,7,8,0.5,0.4666666666666667,0.4827586206896552
R2,frozen,jiufu_bc495978774317_first30,608,6,7,4,0.46153846153846156,0.6,0.5217391304347826
R2,direct_roi_only,jiufu_bc495978774317_first30,608,4,7,6,0.36363636363636365,0.4,0.38095238095238093
R2,frozen,jiufu_e3cef2504bbb4a_first30,678,10,5,6,0.6666666666666666,0.625,0.6451612903225806
R2,direct_roi_only,jiufu_e3cef2504bbb4a_first30,678,7,5,9,0.5833333333333334,0.4375,0.5
R2,frozen,jiufu_d7a117e86dae24_first30,604,10,5,5,0.6666666666666666,0.6666666666666666,0.6666666666666666
R2,direct_roi_only,jiufu_d7a117e86dae24_first30,604,12,1,3,0.9230769230769231,0.8,0.8571428571428571
R2,frozen,jiufu_f339ead1fdb0ac_first30,648,9,9,7,0.5,0.5625,0.5294117647058824
R2,direct_roi_only,jiufu_f339ead1fdb0ac_first30,648,9,9,7,0.5,0.5625,0.5294117647058824
R2,frozen,jiufu_92e9f652faa64a_first30,1145,16,2,9,0.8888888888888888,0.64,0.7441860465116279
R2,direct_roi_only,jiufu_92e9f652faa64a_first30,1145,16,2,9,0.8888888888888888,0.64,0.7441860465116279
R2,frozen,jiufu_fe09caa146ddbd_first30,648,6,7,8,0.46153846153846156,0.42857142857142855,0.4444444444444444
R2,direct_roi_only,jiufu_fe09caa146ddbd_first30,648,4,7,10,0.36363636363636365,0.2857142857142857,0.32
R2,frozen,jiufu_f6c192eaf6c290_first30,854,5,3,8,0.625,0.38461538461538464,0.47619047619047616
R2,direct_roi_only,jiufu_f6c192eaf6c290_first30,854,6,6,7,0.5,0.46153846153846156,0.48
R2,frozen,jiufu_42e874dae20aee_first30,868,1,6,8,0.14285714285714285,0.1111111111111111,0.125
R2,direct_roi_only,jiufu_42e874dae20aee_first30,868,6,4,3,0.6,0.6666666666666666,0.631578947368421
R2,frozen,jiufu_b45e99f5e3803e_first30,1290,19,4,3,0.8260869565217391,0.8636363636363636,0.8444444444444444
R2,direct_roi_only,jiufu_b45e99f5e3803e_first30,1290,19,3,3,0.8636363636363636,0.8636363636363636,0.8636363636363636
R2,frozen,jiufu_fbbccb98b40ed8_first30,A1022182,3,5,5,0.375,0.375,0.375
R2,direct_roi_only,jiufu_fbbccb98b40ed8_first30,A1022182,5,4,3,0.5555555555555556,0.625,0.5882352941176471
R2,frozen,jiufu_b7367092cbf12f_first30,1039,11,1,7,0.9166666666666666,0.6111111111111112,0.7333333333333333
R2,direct_roi_only,jiufu_b7367092cbf12f_first30,1039,9,2,9,0.8181818181818182,0.5,0.6206896551724138
