cohort,video_id,arm,event_id,frame_index,time_seconds,timebase
anchored49,170333,C1P0,p14,202,23.34180725675988,R2_bound_frame_PTS
anchored49,170333,C1P0,p15,216,24.95955627455512,R2_bound_frame_PTS
anchored49,170333,C1P0,p16,229,26.46175179107927,R2_bound_frame_PTS
anchored49,170333,C1P0,p17,240,27.73284030506125,R2_bound_frame_PTS
anchored49,170333,C1P0,p18,250,28.88837531777213,R2_bound_frame_PTS
anchored49,170333,C0P1,p1,7,0.8088745088976196,R2_bound_frame_PTS
anchored49,170333,C0P1,p2,25,2.888837531777213,R2_bound_frame_PTS
anchored49,170333,C0P1,p3,37,4.275479547030275,R2_bound_frame_PTS
anchored49,170333,C0P1,p4,49,5.662121562283337,R2_bound_frame_PTS
anchored49,170333,C0P1,p5,69,7.973191587705108,R2_bound_frame_PTS
anchored49,170333,C0P1,p6,84,9.706494106771435,R2_bound_frame_PTS
anchored49,170333,C0P1,p7,97,11.208689623295584,R2_bound_frame_PTS
anchored49,170333,C0P1,p8,108,12.47977813727756,R2_bound_frame_PTS
anchored49,170333,C0P1,p9,120,13.866420152530624,R2_bound_frame_PTS
anchored49,170333,C0P1,p10,126,14.559741160157154,R2_bound_frame_PTS
anchored49,170333,C0P1,p11,146,16.870811185578923,R2_bound_frame_PTS
anchored49,170333,C0P1,p12,160,18.488560203374163,R2_bound_frame_PTS
anchored49,170333,C0P1,p13,176,20.33741622371158,R2_bound_frame_PTS
anchored49,170333,C0P1,p14,189,21.83961174023573,R2_bound_frame_PTS
anchored49,170333,C0P1,p15,202,23.34180725675988,R2_bound_frame_PTS
anchored49,170333,C0P1,p16,216,24.95955627455512,R2_bound_frame_PTS
anchored49,170333,C0P1,p17,229,26.46175179107927,R2_bound_frame_PTS
anchored49,170333,C0P1,p18,240,27.73284030506125,R2_bound_frame_PTS
anchored49,170333,C0P1,p19,250,28.88837531777213,R2_bound_frame_PTS
anchored49,170333,C1P1,p1,7,0.8088745088976196,R2_bound_frame_PTS
anchored49,170333,C1P1,p2,25,2.888837531777213,R2_bound_frame_PTS
anchored49,170333,C1P1,p3,37,4.275479547030275,R2_bound_frame_PTS
anchored49,170333,C1P1,p4,49,5.662121562283337,R2_bound_frame_PTS
anchored49,170333,C1P1,p5,69,7.973191587705108,R2_bound_frame_PTS
anchored49,170333,C1P1,p6,84,9.706494106771435,R2_bound_frame_PTS
anchored49,170333,C1P1,p7,95,10.97758262075341,R2_bound_frame_PTS
anchored49,170333,C1P1,p8,108,12.47977813727756,R2_bound_frame_PTS
anchored49,170333,C1P1,p9,120,13.866420152530624,R2_bound_frame_PTS
anchored49,170333,C1P1,p10,126,14.559741160157154,R2_bound_frame_PTS
anchored49,170333,C1P1,p11,160,18.488560203374163,R2_bound_frame_PTS
anchored49,170333,C1P1,p12,176,20.33741622371158,R2_bound_frame_PTS
anchored49,170333,C1P1,p13,189,21.83961174023573,R2_bound_frame_PTS
anchored49,170333,C1P1,p14,202,23.34180725675988,R2_bound_frame_PTS
anchored49,170333,C1P1,p15,216,24.95955627455512,R2_bound_frame_PTS
anchored49,170333,C1P1,p16,229,26.46175179107927,R2_bound_frame_PTS
anchored49,170333,C1P1,p17,240,27.73284030506125,R2_bound_frame_PTS
anchored49,170333,C1P1,p18,250,28.88837531777213,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p1,5,0.5801810164771409,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p2,14,1.6245068461359946,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p3,24,2.7848688790902765,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p4,37,4.293339521930843,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p5,48,5.569737758180553,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p6,57,6.614063587839406,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p7,68,7.890461824089116,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p8,79,9.166860060338824,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p9,88,10.21118588999768,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p10,98,11.371547922951962,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p11,108,12.531909955906244,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p12,119,13.808308192155954,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p13,128,14.852634021814806,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p14,137,15.89695985147366,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p15,147,17.057321884427942,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p16,158,18.33372012067765,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p17,168,19.49408215363193,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p18,191,22.162914829426786,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p19,201,23.323276862381064,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p20,210,24.36760269203992,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p21,220,25.5279647249942,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p22,230,26.68832675794848,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p23,241,27.964724994198196,R2_bound_frame_PTS
anchored49,zs197000,C0P0,p24,254,29.47319563703876,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p1,6,0.6962172197725691,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p2,14,1.6245068461359946,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p3,37,4.293339521930843,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p4,57,6.614063587839406,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p5,67,7.774425620793688,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p6,79,9.166860060338824,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p7,88,10.21118588999768,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p8,108,12.531909955906244,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p9,129,14.968670225110236,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p10,138,16.01299605476909,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p11,150,17.405430494314228,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p12,158,18.33372012067765,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p13,168,19.49408215363193,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p14,191,22.162914829426786,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p15,201,23.323276862381064,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p16,210,24.36760269203992,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p17,220,25.5279647249942,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p18,230,26.68832675794848,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p19,241,27.964724994198196,R2_bound_frame_PTS
anchored49,zs197000,C1P0,p20,254,29.47319563703876,R2_bound_frame_PTS
