video_id,arm,kind,predicted_time,reference_time,time_error_seconds
190588_180_210,C0P0,TP,3.435114503816794,3.539,0.10388549618320608
190588_180_210,C0P0,TP,4.35114503816794,4.5,0.14885496183206026
190588_180_210,C0P0,TP,5.152671755725192,5.292,0.1393282442748074
190588_180_210,C0P0,TP,6.068702290076336,6.204,0.1352977099236634
190588_180_210,C0P0,TP,6.984732824427482,7.148,0.1632671755725177
190588_180_210,C0P0,TP,7.786259541984734,7.972,0.18574045801526662
190588_180_210,C0P0,TP,8.70229007633588,8.772,0.06970992366412077
190588_180_210,C0P0,TP,9.389312977099236,9.651,0.2616870229007642
190588_180_210,C0P0,TP,10.419847328244275,10.555,0.13515267175572454
190588_180_210,C0P0,TP,11.221374045801529,11.363,0.1416259541984708
190588_180_210,C0P0,TP,12.137404580152673,12.274,0.13659541984732648
190588_180_210,C0P0,TP,13.053435114503818,13.057,0.0035648854961820575
190588_180_210,C0P0,TP,13.85496183206107,13.863,0.00803816793892942
190588_180_210,C0P0,TP,14.885496183206108,14.854,0.0314961832061087
190588_180_210,C0P0,TP,15.801526717557254,15.806,0.004473282442745585
190588_180_210,C0P0,TP,16.603053435114507,16.739,0.13594656488549361
190588_180_210,C0P0,TP,17.633587786259543,17.642,0.008412213740456309
190588_180_210,C0P0,TP,18.435114503816795,18.488,0.052885496183204594
190588_180_210,C0P0,TP,29.312977099236644,29.371,0.05802290076335481
190588_180_210,C0P0,FP,19.351145038167942,,
190588_180_210,C0P0,FP,27.824427480916032,,
190588_180_210,C1P0,TP,0.801526717557252,0.938,0.13647328244274792
190588_180_210,C1P0,TP,1.717557251908397,1.851,0.13344274809160295
190588_180_210,C1P0,TP,2.6335877862595423,2.644,0.010412213740457865
190588_180_210,C1P0,TP,3.435114503816794,3.539,0.10388549618320608
190588_180_210,C1P0,TP,4.35114503816794,4.5,0.14885496183206026
190588_180_210,C1P0,TP,5.152671755725192,5.292,0.1393282442748074
190588_180_210,C1P0,TP,6.068702290076336,6.204,0.1352977099236634
190588_180_210,C1P0,TP,6.984732824427482,7.148,0.1632671755725177
190588_180_210,C1P0,TP,7.786259541984734,7.972,0.18574045801526662
190588_180_210,C1P0,TP,8.70229007633588,8.772,0.06970992366412077
190588_180_210,C1P0,TP,9.389312977099236,9.651,0.2616870229007642
190588_180_210,C1P0,TP,10.419847328244275,10.555,0.13515267175572454
190588_180_210,C1P0,TP,11.221374045801529,11.363,0.1416259541984708
