cohort,window_id,predicted_minus_reference_seconds,scope
lindian49,211070_anchored_30s,-0.1343426317594627,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,-0.223068251972105,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,-0.002144049388359548,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,-0.11854475820281252,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,-0.10094546701726514,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,-0.09087254675594547,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,0.1715308242900031,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,0.21093419533595004,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,0.24563588085892363,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,0.2663375663818979,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,-0.15030108519972352,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,0.20665550681136047,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,0.0660168552297371,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,0.2517185407527158,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,0.19497344724082666,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,-0.28866520434079845,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,0.11537681828676938,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,0.22607850380974526,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,0.20133341029785257,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba170296_anchored_30s,0.0011415377510992641,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.16152484254723554,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.06257639374854218,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.21625962211336613,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.20304781898763657,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.2983627245159779,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.0075192442267315585,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.1462024725915576,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.12625402379286044,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,0.1123261021693498,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.013725449031955606,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.0041453230697445775,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,0.004803125728948032,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.12288010263587523,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,0.09733170048984974,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,0.07091182645206473,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.03577140191275774,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,0.23144040121296783,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.08429437835316023,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.13271425239094725,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba177610_anchored_30s,-0.25781735479355916,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,-0.13063898500576698,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,0.08776355247981549,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,-0.03600807381776239,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,-0.18762629757785465,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,-0.1882445213379471,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,-0.0985224913494811,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,0.14330334486736085,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,0.07336562860438356,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,0.11042791234140736,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,0.020809688581316266,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,0.09287197231834021,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,0.21493425605536487,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,0.052718569780854097,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,0.02244059976932178,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,-0.14017762399077327,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,-0.22345559400230997,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,-0.16173356401383998,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,-0.21962975778546578,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,0.2288558246828103,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,-0.07242214532871927,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,-0.09635986159169363,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,0.09404267589388837,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba455_anchored_30s,-0.16023529411764414,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.15109892646889067,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.13396225326099565,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.13262772711531845,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.030859748355072547,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,0.09134168301973933,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.07075724344915102,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,0.026577282696523596,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.10952164377236429,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.18025187579360313,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.020483897033360066,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,0.008284081726884551,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,0.10305206048712989,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.03617996075263008,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.2405756666281924,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.23260625649313127,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.14070518296202295,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.08937065681634948,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,ba6516_anchored_30s,-0.11903613067067198,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,bs0514_anchored_30s,-0.03838856220454279,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,bs0514_anchored_30s,-0.031780698720165645,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,bs0514_anchored_30s,0.1281239478842382,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,bs0514_anchored_30s,0.10103574311080443,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,bs0514_anchored_30s,-0.27875925285368375,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,bs0514_anchored_30s,-0.13775567854260373,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,bs0514_anchored_30s,-0.15645174680041585,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,bs0514_anchored_30s,0.0091525423728811,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,bs0514_anchored_30s,0.28976040585725826,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,bs0514_anchored_30s,0.15806433759944838,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,bs0514_anchored_30s,0.22967220108382236,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,bs0514_anchored_30s,0.2099761328260108,matched_at_0.30_only_truncated_not_latency_estimate
