cohort,window_id,cluster,variant,base_tp,base_fp,base_fn,count_status,tp,fp,fn,precision,recall,f1
jiufu271,jiufu_8db6ed7f9c3ad8_first30,677,whole_window_guard,7,9,5,partial_events_no_full_RR,0,0,12,0.0,0.0,0.0
jiufu271,jiufu_75a484b3f5253b_first30,1425,local_event_guard,5,5,2,partial_events_no_full_RR,5,3,2,0.625,0.7142857142857143,0.6666666666666666
jiufu271,jiufu_75a484b3f5253b_first30,1425,whole_window_guard,5,5,2,partial_events_no_full_RR,0,0,7,0.0,0.0,0.0
jiufu271,jiufu_35f0adf19ed368_first30,622,local_event_guard,16,5,4,partial_events_no_full_RR,11,2,9,0.8461538461538461,0.55,0.6666666666666666
jiufu271,jiufu_35f0adf19ed368_first30,622,whole_window_guard,16,5,4,partial_events_no_full_RR,0,0,20,0.0,0.0,0.0
jiufu271,jiufu_7045c3900be0cc_first30,921,local_event_guard,0,0,9,abstain,0,0,9,0.0,0.0,0.0
jiufu271,jiufu_7045c3900be0cc_first30,921,whole_window_guard,0,0,9,abstain,0,0,9,0.0,0.0,0.0
jiufu271,jiufu_21e342957e0fd7_first30,1420,local_event_guard,22,0,2,partial_events_no_full_RR,17,0,7,1.0,0.7083333333333334,0.8292682926829268
jiufu271,jiufu_21e342957e0fd7_first30,1420,whole_window_guard,22,0,2,partial_events_no_full_RR,0,0,24,0.0,0.0,0.0
jiufu271,jiufu_36ee658c295629_first30,1469,local_event_guard,0,0,13,abstain,0,0,13,0.0,0.0,0.0
jiufu271,jiufu_36ee658c295629_first30,1469,whole_window_guard,0,0,13,abstain,0,0,13,0.0,0.0,0.0
jiufu271,jiufu_c92bd308748a09_first30,A1021154,local_event_guard,8,7,9,partial_events_no_full_RR,5,5,12,0.5,0.29411764705882354,0.37037037037037035
