cohort,window_id,cluster,variant,base_tp,base_fp,base_fn,count_status,tp,fp,fn,precision,recall,f1
lindian49,bs0514_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806上午\20230806T080921n50514\20230806T080921n50514.MP4,whole_window_guard,14,6,7,partial_events_no_full_RR,0,0,21,0.0,0.0,0.0
lindian49,bs170227_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806上午\20230806T080034n170227\20230806T080034n170227.MP4,local_event_guard,13,5,6,complete_output,13,5,6,0.7222222222222222,0.6842105263157895,0.7027027027027027
lindian49,bs170227_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806上午\20230806T080034n170227\20230806T080034n170227.MP4,whole_window_guard,13,5,6,complete_output,13,5,6,0.7222222222222222,0.6842105263157895,0.7027027027027027
lindian49,bs177611_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806上午\20230806T093742n177611\20230806T093742n177611.MP4,local_event_guard,14,5,5,partial_events_no_full_RR,14,5,5,0.7368421052631579,0.7368421052631579,0.7368421052631579
lindian49,bs177611_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806上午\20230806T093742n177611\20230806T093742n177611.MP4,whole_window_guard,14,5,5,partial_events_no_full_RR,0,0,19,0.0,0.0,0.0
lindian49,bs189556_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T082122n189556风机影响大\20230807T082122n189556风机影响大.MP4,local_event_guard,2,11,11,partial_events_no_full_RR,2,11,11,0.15384615384615385,0.15384615384615385,0.15384615384615385
lindian49,bs189556_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T082122n189556风机影响大\20230807T082122n189556风机影响大.MP4,whole_window_guard,2,11,11,partial_events_no_full_RR,0,0,13,0.0,0.0,0.0
lindian49,bs190624_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T084558n190624\20230807T084558n190624.MP4,local_event_guard,25,2,2,partial_events_no_full_RR,24,2,3,0.9230769230769231,0.8888888888888888,0.9056603773584906
lindian49,bs190624_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T084558n190624\20230807T084558n190624.MP4,whole_window_guard,25,2,2,partial_events_no_full_RR,0,0,27,0.0,0.0,0.0
lindian49,bs200673_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T081058n200673\20230807T081058n200673.MP4,local_event_guard,31,0,2,partial_events_no_full_RR,30,0,3,1.0,0.9090909090909091,0.9523809523809523
lindian49,bs200673_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T081058n200673\20230807T081058n200673.MP4,whole_window_guard,31,0,2,partial_events_no_full_RR,0,0,33,0.0,0.0,0.0
lindian49,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,local_event_guard,20,9,9,complete_output,20,9,9,0.6896551724137931,0.6896551724137931,0.6896551724137931
lindian49,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,whole_window_guard,20,9,9,complete_output,20,9,9,0.6896551724137931,0.6896551724137931,0.6896551724137931
lindian49,bs210974_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080524n210974\20230807T080524n210974.MP4,local_event_guard,14,11,14,partial_events_no_full_RR,13,8,15,0.6190476190476191,0.4642857142857143,0.5306122448979592
lindian49,bs210974_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080524n210974\20230807T080524n210974.MP4,whole_window_guard,14,11,14,partial_events_no_full_RR,0,0,28,0.0,0.0,0.0
lindian49,bs211046_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T081353n211046\20230807T081353n211046.MP4,local_event_guard,14,3,5,partial_events_no_full_RR,14,3,5,0.8235294117647058,0.7368421052631579,0.7777777777777778
lindian49,bs211046_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T081353n211046\20230807T081353n211046.MP4,whole_window_guard,14,3,5,partial_events_no_full_RR,0,0,19,0.0,0.0,0.0
lindian49,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,local_event_guard,30,2,2,complete_output,30,2,2,0.9375,0.9375,0.9375
lindian49,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,whole_window_guard,30,2,2,complete_output,30,2,2,0.9375,0.9375,0.9375
lindian49,bs450_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090757n450\20230807T090757n450.MP4,local_event_guard,27,4,6,partial_events_no_full_RR,26,3,7,0.896551724137931,0.7878787878787878,0.8387096774193549
lindian49,bs450_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090757n450\20230807T090757n450.MP4,whole_window_guard,27,4,6,partial_events_no_full_RR,0,0,33,0.0,0.0,0.0
lindian49,bs455_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806上午\20230806T092453n455\20230806T092453n455.MP4,local_event_guard,16,4,5,partial_events_no_full_RR,16,2,5,0.8888888888888888,0.7619047619047619,0.8205128205128205
lindian49,bs455_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806上午\20230806T092453n455\20230806T092453n455.MP4,whole_window_guard,16,4,5,partial_events_no_full_RR,0,0,21,0.0,0.0,0.0
lindian49,bs4717_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806上午\20230806T094403n4717\20230806T094403n4717.MP4,local_event_guard,26,5,4,complete_output,26,5,4,0.8387096774193549,0.8666666666666667,0.8524590163934426
lindian49,bs4717_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806上午\20230806T094403n4717\20230806T094403n4717.MP4,whole_window_guard,26,5,4,complete_output,26,5,4,0.8387096774193549,0.8666666666666667,0.8524590163934426
