cohort,window_id,status,count_error,unmatched_events,cancelling_pairs,exact_count,f1
jiufu271,jiufu_c6e5a206ad0c30_first30,ok,-1,7,3,False,0.8
jiufu271,jiufu_0f7af9c769fda5_first30,ok,-6,12,3,False,0.5384615384615384
jiufu271,jiufu_42402108cd09a9_first30,ok,2,10,4,False,0.16666666666666666
jiufu271,jiufu_a97a8ff157139f_first30,ok,0,4,2,True,0.8181818181818182
jiufu271,jiufu_a45d837f891e44_first30,ok,-1,9,4,False,0.4
jiufu271,jiufu_3a993354ebd1c7_first30,ok,-6,10,2,False,0.75
jiufu271,jiufu_2320c69c168a7a_first30,abstain,-12,12,0,False,0.0
jiufu271,jiufu_13f838ff73e069_first30,ok,2,2,0,False,0.75
jiufu271,jiufu_34e5b460466c18_first30,abstain,-13,13,0,False,0.0
jiufu271,jiufu_7388b7efc8afb3_first30,ok,-1,17,8,False,0.37037037037037035
jiufu271,jiufu_2fdd36fbe9a8ce_first30,ok,0,14,7,True,0.5625
jiufu271,jiufu_ef58cd171d4783_first30,ok,-1,17,8,False,0.41379310344827586
jiufu271,jiufu_96dfaf729ad3d4_first30,abstain,-10,10,0,False,0.0
jiufu271,jiufu_dfa58f3a711e47_first30,ok,3,9,3,False,0.47058823529411764
jiufu271,jiufu_a1ceaa6025ff79_first30,ok,-7,11,2,False,0.5925925925925926
jiufu271,jiufu_f6508f398bcf0f_first30,abstain,-10,10,0,False,0.0
jiufu271,jiufu_9a1c40cbb80bb1_first30,ok,-1,13,6,False,0.3157894736842105
jiufu271,jiufu_161f93bfffbe11_first30,ok,-1,7,3,False,0.631578947368421
jiufu271,jiufu_014c9b6a274fed_first30,ok,-4,10,3,False,0.6428571428571429
jiufu271,jiufu_028724ccc9868d_first30,ok,-1,11,5,False,0.6857142857142857
jiufu271,jiufu_0c053f837a8b23_first30,ok,3,15,6,False,0.5161290322580645
jiufu271,jiufu_8f6eabd7f2cb6e_first30,ok,0,14,7,True,0.3
jiufu271,jiufu_21b4c4c26061d0_first30,ok,1,9,4,False,0.6896551724137931
jiufu271,jiufu_37333d1afc0ec2_first30,ok,3,17,7,False,0.37037037037037035
jiufu271,jiufu_1ededf79f4d325_first30,abstain,-8,8,0,False,0.0
jiufu271,jiufu_b273cec8024eb2_first30,ok,0,14,7,True,0.46153846153846156
jiufu271,jiufu_d1a9a7ab944633_first30,ok,-5,17,6,False,0.41379310344827586
jiufu271,jiufu_908496549f5b42_first30,ok,-1,5,2,False,0.6153846153846154
jiufu271,jiufu_d3820405b5afe2_first30,abstain,-9,9,0,False,0.0
jiufu271,jiufu_04fd6f8dc56a73_first30,ok,-1,5,2,False,0.7619047619047619
jiufu271,jiufu_440a29cebcae1c_first30,ok,-2,12,5,False,0.5
jiufu271,jiufu_e2821e37ff899d_first30,ok,5,15,5,False,0.5161290322580645
jiufu271,jiufu_b80d393ca25ef8_first30,ok,1,1,0,False,0.8888888888888888
jiufu271,jiufu_adb9b6776eb349_first30,ok,-2,10,4,False,0.75
jiufu271,jiufu_d837d576df8e43_first30,ok,1,5,2,False,0.7058823529411765
jiufu271,jiufu_281bc808f4d3ff_first30,ok,-5,17,6,False,0.19047619047619047
jiufu271,jiufu_bb78a10aeab6d5_first30,abstain,-15,15,0,False,0.0
jiufu271,jiufu_4206de92a27bce_first30,ok,1,3,1,False,0.896551724137931
jiufu271,jiufu_004d48d055c457_first30,abstain,-14,14,0,False,0.0
jiufu271,jiufu_43743cb152c168_first30,ok,-2,12,5,False,0.5714285714285714
jiufu271,jiufu_d7498380edb383_first30,ok,0,18,9,True,0.25
jiufu271,jiufu_512d98136d6412_first30,ok,0,22,11,True,0.21428571428571427
jiufu271,jiufu_7b10e1dbd08a03_first30,abstain,-14,14,0,False,0.0
jiufu271,jiufu_1b1d8d9b6faec7_first30,ok,-4,20,8,False,0.16666666666666666
jiufu271,jiufu_1a11fc33fcb6cf_first30,ok,0,14,7,True,0.5
jiufu271,jiufu_993a2261c33ae0_first30,ok,-1,9,4,False,0.7096774193548387
jiufu271,jiufu_15023a4d62f18e_first30,ok,0,12,6,True,0.75
jiufu271,jiufu_bcea2687a6b788_first30,ok,-6,18,6,False,0.5
jiufu271,jiufu_4a3dc560468965_first30,abstain,-16,16,0,False,0.0
jiufu271,jiufu_af70c3cc180ae2_first30,abstain,-7,7,0,False,0.0
jiufu271,jiufu_fe965ff4644d07_first30,ok,0,14,7,True,0.5
jiufu271,jiufu_f6bca344b2c8ce_first30,ok,5,15,5,False,0.5161290322580645
jiufu271,jiufu_ce6ff507b22ee9_first30,ok,8,18,5,False,0.4
jiufu271,jiufu_075ed4d93c9959_first30,ok,-2,8,3,False,0.6
jiufu271,jiufu_234cbf6b627421_first30,ok,-16,18,1,False,0.25
jiufu271,jiufu_0f85cab7ac58ae_first30,ok,-2,8,3,False,0.7333333333333333
jiufu271,jiufu_55441b4c6fe974_first30,ok,1,17,8,False,0.32
jiufu271,jiufu_d074036ef96d31_first30,ok,2,12,5,False,0.5714285714285714
jiufu271,jiufu_cdaa16888fda03_first30,ok,0,14,7,True,0.2222222222222222
jiufu271,jiufu_b7ed63dc0d8295_first30,ok,4,18,7,False,0.3076923076923077
jiufu271,jiufu_7f3b12c4283ff8_first30,abstain,-11,11,0,False,0.0
jiufu271,jiufu_36d04432159cdf_first30,abstain,-10,10,0,False,0.0
jiufu271,jiufu_9ddfe0afe06424_first30,ok,-2,14,6,False,0.5
jiufu271,jiufu_7beb44b12a5f36_first30,abstain,-8,8,0,False,0.0
