reference,window_id,cluster,method,truth_count,predicted_count,truth_rr,predicted_rr
R2,jiufu_adb9b6776eb349_first30,869,observed_periodicity,21.0,20.0,42.0,40.0
R2,jiufu_d837d576df8e43_first30,1539,frozen,8.0,9.0,16.0,18.0
R2,jiufu_d837d576df8e43_first30,1539,observed_periodicity,8.0,9.0,16.0,18.0
R2,jiufu_281bc808f4d3ff_first30,A1022182,frozen,13.0,8.0,26.0,16.0
R2,jiufu_281bc808f4d3ff_first30,A1022182,observed_periodicity,13.0,9.0,26.0,18.0
R2,jiufu_4206de92a27bce_first30,1539,frozen,14.0,15.0,28.0,30.0
R2,jiufu_4206de92a27bce_first30,1539,observed_periodicity,14.0,15.0,28.0,30.0
R2,jiufu_43743cb152c168_first30,1022249,frozen,15.0,13.0,30.0,26.0
R2,jiufu_43743cb152c168_first30,1022249,observed_periodicity,15.0,15.0,30.0,30.0
R2,jiufu_d7498380edb383_first30,719,frozen,12.0,12.0,24.0,24.0
R2,jiufu_d7498380edb383_first30,719,observed_periodicity,12.0,12.0,24.0,24.0
R2,jiufu_512d98136d6412_first30,A1022251,frozen,14.0,14.0,28.0,28.0
R2,jiufu_512d98136d6412_first30,A1022251,observed_periodicity,14.0,14.0,28.0,28.0
R2,jiufu_1b1d8d9b6faec7_first30,1823,frozen,14.0,10.0,28.0,20.0
R2,jiufu_1b1d8d9b6faec7_first30,1823,observed_periodicity,14.0,17.0,28.0,34.0
R2,jiufu_1a11fc33fcb6cf_first30,1646,frozen,14.0,14.0,28.0,28.0
R2,jiufu_1a11fc33fcb6cf_first30,1646,observed_periodicity,14.0,14.0,28.0,28.0
R2,jiufu_993a2261c33ae0_first30,1578,frozen,16.0,15.0,32.0,30.0
R2,jiufu_993a2261c33ae0_first30,1578,observed_periodicity,16.0,16.0,32.0,32.0
R2,jiufu_15023a4d62f18e_first30,997,frozen,24.0,24.0,48.0,48.0
R2,jiufu_15023a4d62f18e_first30,997,observed_periodicity,24.0,24.0,48.0,48.0
R2,jiufu_bcea2687a6b788_first30,1836,frozen,21.0,15.0,42.0,30.0
R2,jiufu_bcea2687a6b788_first30,1836,observed_periodicity,21.0,12.0,42.0,24.0
R2,jiufu_fe965ff4644d07_first30,372,frozen,14.0,14.0,28.0,28.0
R2,jiufu_fe965ff4644d07_first30,372,observed_periodicity,14.0,14.0,28.0,28.0
R2,jiufu_f6bca344b2c8ce_first30,810,frozen,13.0,18.0,26.0,36.0
R2,jiufu_f6bca344b2c8ce_first30,810,observed_periodicity,13.0,16.0,26.0,32.0
R2,jiufu_ce6ff507b22ee9_first30,A1021156,frozen,11.0,19.0,22.0,38.0
R2,jiufu_ce6ff507b22ee9_first30,A1021156,observed_periodicity,11.0,16.0,22.0,32.0
R2,jiufu_075ed4d93c9959_first30,1371,frozen,11.0,9.0,22.0,18.0
R2,jiufu_075ed4d93c9959_first30,1371,observed_periodicity,11.0,10.0,22.0,20.0
R2,jiufu_234cbf6b627421_first30,270,frozen,20.0,4.0,40.0,8.0
R2,jiufu_234cbf6b627421_first30,270,observed_periodicity,20.0,4.0,40.0,8.0
R2,jiufu_0f85cab7ac58ae_first30,165,frozen,16.0,14.0,32.0,28.0
R2,jiufu_0f85cab7ac58ae_first30,165,observed_periodicity,16.0,12.0,32.0,24.0
R2,jiufu_55441b4c6fe974_first30,1129,frozen,12.0,13.0,24.0,26.0
R2,jiufu_55441b4c6fe974_first30,1129,observed_periodicity,12.0,14.0,24.0,28.0
R2,jiufu_d074036ef96d31_first30,281,frozen,13.0,15.0,26.0,30.0
R2,jiufu_d074036ef96d31_first30,281,observed_periodicity,13.0,15.0,26.0,30.0
R2,jiufu_cdaa16888fda03_first30,A1022182,frozen,9.0,9.0,18.0,18.0
R2,jiufu_cdaa16888fda03_first30,A1022182,observed_periodicity,9.0,9.0,18.0,18.0
R2,jiufu_b7ed63dc0d8295_first30,1358,frozen,11.0,15.0,22.0,30.0
R2,jiufu_b7ed63dc0d8295_first30,1358,observed_periodicity,11.0,13.0,22.0,26.0
R2,jiufu_9ddfe0afe06424_first30,1589,frozen,15.0,13.0,30.0,26.0
R2,jiufu_9ddfe0afe06424_first30,1589,observed_periodicity,15.0,13.0,30.0,26.0
R3,jiufu_7cb985938d0a6a_first30,659,frozen,13.0,12.0,26.0,24.0
R3,jiufu_7cb985938d0a6a_first30,659,observed_periodicity,13.0,13.0,26.0,26.0
R3,jiufu_0d1522aef374ec_first30,A1022205,frozen,15.0,14.0,30.0,28.0
R3,jiufu_0d1522aef374ec_first30,A1022205,observed_periodicity,15.0,14.0,30.0,28.0
R3,jiufu_440a29cebcae1c_first30,1487,frozen,12.0,11.0,24.0,22.0
R3,jiufu_440a29cebcae1c_first30,1487,observed_periodicity,12.0,11.0,24.0,22.0
R3,jiufu_f920435ef76ec4_first30,1428,frozen,10.0,8.0,20.0,16.0
R3,jiufu_f920435ef76ec4_first30,1428,observed_periodicity,10.0,7.0,20.0,14.0
R3,jiufu_bd77cfa7950eaa_first30,743,frozen,14.0,15.0,28.0,30.0
R3,jiufu_bd77cfa7950eaa_first30,743,observed_periodicity,14.0,16.0,28.0,32.0
R3,jiufu_cc60214ff2d564_first30,1308,frozen,10.0,10.0,20.0,20.0
R3,jiufu_cc60214ff2d564_first30,1308,observed_periodicity,10.0,12.0,20.0,24.0
R3,jiufu_55441b4c6fe974_first30,1129,frozen,10.0,13.0,20.0,26.0
R3,jiufu_55441b4c6fe974_first30,1129,observed_periodicity,10.0,14.0,20.0,28.0
