cohort,review_id,window_id,strict_visible_phase,tolerance_seconds,tp,fp,fn,precision,recall,f1
jiufu271,R3-23,jiufu_cc60214ff2d564_first30,True,0.3,7,5,3,0.5833333333333334,0.7,0.6363636363636364
jiufu271,R3-23,jiufu_cc60214ff2d564_first30,True,0.5,10,2,0,0.8333333333333334,1.0,0.9090909090909091
jiufu271,R3-23,jiufu_cc60214ff2d564_first30,True,0.75,10,2,0,0.8333333333333334,1.0,0.9090909090909091
jiufu271,R3-23,jiufu_cc60214ff2d564_first30,True,1.0,10,2,0,0.8333333333333334,1.0,0.9090909090909091
jiufu271,R3-24,jiufu_55441b4c6fe974_first30,True,0.1,4,8,6,0.3333333333333333,0.4,0.36363636363636365
jiufu271,R3-24,jiufu_55441b4c6fe974_first30,True,0.2,5,7,5,0.4166666666666667,0.5,0.45454545454545453
jiufu271,R3-24,jiufu_55441b4c6fe974_first30,True,0.3,8,4,2,0.6666666666666666,0.8,0.7272727272727273
jiufu271,R3-24,jiufu_55441b4c6fe974_first30,True,0.5,8,4,2,0.6666666666666666,0.8,0.7272727272727273
jiufu271,R3-24,jiufu_55441b4c6fe974_first30,True,0.75,8,4,2,0.6666666666666666,0.8,0.7272727272727273
jiufu271,R3-24,jiufu_55441b4c6fe974_first30,True,1.0,8,4,2,0.6666666666666666,0.8,0.7272727272727273
