cohort,review_id,window_id,cluster,strict_visible_phase,prediction_status,version,method,tolerance_seconds,tp,fp,fn,precision,recall,f1
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R2,frozen_baseline,0.75,14,4,7,0.7777777777777778,0.6666666666666666,0.717948717948718
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R3,frozen_baseline,0.75,12,6,7,0.6666666666666666,0.631578947368421,0.6486486486486487
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R2,frozen_baseline,1.0,17,1,4,0.9444444444444444,0.8095238095238095,0.8717948717948718
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R3,frozen_baseline,1.0,12,6,7,0.6666666666666666,0.631578947368421,0.6486486486486487
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R3,previously_rejected_local_guard,0.3,11,5,8,0.6875,0.5789473684210527,0.6285714285714286
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R2,frozen_baseline,0.1,2,12,12,0.14285714285714285,0.14285714285714285,0.14285714285714285
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R3,frozen_baseline,0.1,4,10,11,0.2857142857142857,0.26666666666666666,0.27586206896551724
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R2,frozen_baseline,0.2,5,9,9,0.35714285714285715,0.35714285714285715,0.35714285714285715
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R3,frozen_baseline,0.2,7,7,8,0.5,0.4666666666666667,0.4827586206896552
jiufu271,R3-05,jiufu_0d1522aef374ec_first30,A1022205,True,ok,R2,frozen_baseline,0.3,8,6,6,0.5714285714285714,0.5714285714285714,0.5714285714285714
