cohort,review_id,window_id,tolerance_seconds,r2_time,r3_time,r2_minus_r3_seconds,caveat
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.75,15.386,15.725,-0.3390000000000004,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.75,17.826,17.687,0.13899999999999935,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.75,20.179,20.282,-0.10300000000000153,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.75,23.02,23.022,-0.0019999999999988916,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.75,26.033,25.523,0.5100000000000016,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.75,27.296,27.315,-0.019000000000001904,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.75,29.074,29.058,0.01600000000000179,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,1.0,2.874,2.393,0.4810000000000003,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,1.0,8.097,7.982,0.11499999999999932,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,1.0,9.841,9.915,-0.07399999999999984,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,1.0,11.905,11.972,-0.06700000000000017,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,1.0,15.386,15.725,-0.3390000000000004,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,1.0,17.826,17.687,0.13899999999999935,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,1.0,20.179,20.282,-0.10300000000000153,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,1.0,23.02,23.022,-0.0019999999999988916,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,1.0,26.033,25.523,0.5100000000000016,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,1.0,27.296,27.315,-0.019000000000001904,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,1.0,29.074,29.058,0.01600000000000179,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.1,29.596,29.678,-0.08200000000000074,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.2,29.596,29.678,-0.08200000000000074,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.3,7.627,7.348,0.2789999999999999,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.3,29.596,29.678,-0.08200000000000074,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.5,1.782,2.243,-0.46099999999999985,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.5,7.627,7.348,0.2789999999999999,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.5,14.571,14.127,0.44399999999999906,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.5,20.306,19.943,0.36299999999999955,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.5,24.345,23.922,0.42299999999999827,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.5,26.482,26.033,0.44899999999999807,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.5,28.099,27.78,0.31899999999999906,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.5,29.596,29.678,-0.08200000000000074,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.75,1.782,2.243,-0.46099999999999985,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.75,7.627,7.348,0.2789999999999999,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.75,14.571,14.127,0.44399999999999906,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.75,20.306,19.943,0.36299999999999955,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.75,24.345,23.922,0.42299999999999827,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.75,26.482,26.033,0.44899999999999807,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.75,28.099,27.78,0.31899999999999906,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,0.75,29.596,29.678,-0.08200000000000074,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,1.0,1.782,2.243,-0.46099999999999985,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,1.0,7.627,7.348,0.2789999999999999,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,1.0,14.571,14.127,0.44399999999999906,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,1.0,20.306,19.943,0.36299999999999955,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,1.0,24.345,23.922,0.42299999999999827,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,1.0,26.482,26.033,0.44899999999999807,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,1.0,28.099,27.78,0.31899999999999906,truncated_matched_subset_not_reaction_latency
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,1.0,29.596,29.678,-0.08200000000000074,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.1,4.361,4.381,-0.020000000000000462,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.1,9.879,9.916,-0.03700000000000081,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.1,11.839,11.876,-0.036999999999999034,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.1,13.88,13.951,-0.07099999999999973,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.1,16.1,16.142,-0.04199999999999804,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.1,18.199,18.102,0.09700000000000131,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.1,28.541,28.479,0.062000000000001165,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.2,4.361,4.381,-0.020000000000000462,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.2,9.879,9.916,-0.03700000000000081,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.2,10.961,11.069,-0.10800000000000054,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.2,11.839,11.876,-0.036999999999999034,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.2,13.88,13.951,-0.07099999999999973,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.2,14.96,15.104,-0.14399999999999835,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.2,16.1,16.142,-0.04199999999999804,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.2,17.168,17.064,0.1039999999999992,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.2,18.199,18.102,0.09700000000000131,truncated_matched_subset_not_reaction_latency
lindian49,R3-04,zs190621_anchored_30s,0.2,19.28,19.14,0.14000000000000057,truncated_matched_subset_not_reaction_latency
