review_id,window_id,side,segment,eligible_full_window,strict_visible_phase,kind,frame_index,event_time_seconds,normalized_value,prominence,observed_run_start,observed_run_end
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,maximum,74,8.505747126436782,0.7731242534590161,0.15067946670700982,6.551724137931035,12.413793103448278
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,maximum,90,10.344827586206897,0.7218075409071556,0.09495929236132894,6.551724137931035,12.413793103448278
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,maximum,104,11.954022988505749,0.7699541944819746,0.053917050581516635,6.551724137931035,12.413793103448278
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,minimum,70,8.045977011494253,0.6114102062125977,0.16171404724641847,6.551724137931035,12.413793103448278
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,minimum,84,9.655172413793103,0.6224447867520063,0.14750940772996823,6.551724137931035,12.413793103448278
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,minimum,96,11.03448275862069,0.6268482485458267,0.09495929236132894,6.551724137931035,12.413793103448278
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,maximum,140,16.091954022988507,0.8150948648653409,0.12762747885945136,15.287356321839082,18.27586206896552
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,maximum,149,17.126436781609197,0.7643324326345364,0.054690485780238496,15.287356321839082,18.27586206896552
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,minimum,146,16.7816091954023,0.7096419468542979,0.054690485780238496,15.287356321839082,18.27586206896552
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,maximum,182,20.919540229885055,0.7958670063534616,0.0762111699902639,20.57471264367816,25.17241379310345
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,maximum,195,22.41379310344828,0.8472963134669382,0.23841675610089896,20.57471264367816,25.17241379310345
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,maximum,211,24.252873563218397,0.8134523739315682,0.2126821877955013,20.57471264367816,25.17241379310345
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,minimum,189,21.724137931034484,0.6088795573660393,0.18698744898742237,20.57471264367816,25.17241379310345
