window_id,start_frame,stop_frame_exclusive,core_start_frame,core_stop_frame_exclusive,core_start_seconds,core_stop_seconds,core_seconds,eligible_duration,segment_id,event_count,signal_status
jiufu_c79b86b8813e90_first30,216,261,219,261,25.17241379310345,30.0,4.827586206896552,False,1,0,short_span
jiufu_d0a278abbce35d_first30,0,92,0,89,0.0,10.229885057471265,10.229885057471265,True,0,6,partial_events_only
jiufu_d0a278abbce35d_first30,115,261,118,261,13.563218390804597,30.0,16.436781609195403,True,1,6,partial_events_only
jiufu_24b7bfc0889845_first30,0,13,0,10,0.0,1.1494252873563218,1.1494252873563218,False,0,0,short_span
jiufu_24b7bfc0889845_first30,35,261,38,261,4.3678160919540225,30.0,25.632183908045977,True,1,12,partial_events_only
jiufu_fc574ca4aa0e22_first30,0,254,0,251,0.0,28.850574712643677,28.850574712643677,True,0,14,partial_events_only
jiufu_9fc4ab4ff20989_first30,0,177,0,174,0.0,20.0,20.0,True,0,9,partial_events_only
jiufu_9fc4ab4ff20989_first30,198,261,201,261,23.103448275862068,30.0,6.896551724137931,True,1,3,partial_events_only
jiufu_4a28bba3529d28_first30,0,47,0,44,0.0,5.057471264367816,5.057471264367816,False,0,0,short_span
jiufu_4a28bba3529d28_first30,71,261,74,261,8.505747126436782,30.0,21.49425287356322,True,1,10,partial_events_only
jiufu_14d4ade8b6206e_first30,0,151,0,148,0.0,17.011494252873565,17.011494252873565,True,0,9,partial_events_only
jiufu_14d4ade8b6206e_first30,174,261,177,261,20.344827586206897,30.0,9.655172413793103,True,1,5,partial_events_only
jiufu_d37cd7a2cec816_first30,0,47,0,44,0.0,5.057471264367816,5.057471264367816,False,0,0,short_span
jiufu_d37cd7a2cec816_first30,70,261,73,261,8.39080459770115,30.0,21.60919540229885,True,1,10,partial_events_only
jiufu_fdd90da34c7a97_first30,0,106,0,103,0.0,11.839080459770114,11.839080459770114,True,0,6,partial_events_only
jiufu_fdd90da34c7a97_first30,127,261,130,261,14.942528735632184,30.0,15.057471264367816,True,1,6,partial_events_only
jiufu_766cc912612d8c_first30,0,73,0,70,0.0,8.045977011494253,8.045977011494253,True,0,6,partial_events_only
jiufu_766cc912612d8c_first30,94,261,97,261,11.14942528735632,30.0,18.850574712643677,True,1,10,partial_events_only
jiufu_2320c69c168a7a_first30,0,148,0,145,0.0,16.666666666666668,16.666666666666668,True,0,7,partial_events_only
jiufu_2320c69c168a7a_first30,169,261,172,261,19.770114942528735,30.0,10.229885057471265,True,1,4,partial_events_only
jiufu_34e5b460466c18_first30,0,176,0,173,0.0,19.885057471264368,19.885057471264368,True,0,8,partial_events_only
jiufu_34e5b460466c18_first30,198,261,201,261,23.103448275862068,30.0,6.896551724137931,True,1,3,partial_events_only
jiufu_96dfaf729ad3d4_first30,0,196,0,193,0.0,22.18390804597701,22.18390804597701,True,0,10,partial_events_only
jiufu_96dfaf729ad3d4_first30,217,261,220,261,25.28735632183908,30.0,4.712643678160919,False,1,0,short_span
jiufu_f6508f398bcf0f_first30,0,260,0,257,0.0,29.54022988505747,29.54022988505747,True,0,10,partial_events_only
jiufu_1ededf79f4d325_first30,0,177,0,174,0.0,20.0,20.0,True,0,6,partial_events_only
jiufu_1ededf79f4d325_first30,198,261,201,261,23.103448275862068,30.0,6.896551724137931,True,1,3,partial_events_only
jiufu_d3820405b5afe2_first30,0,89,0,86,0.0,9.885057471264368,9.885057471264368,True,0,6,partial_events_only
jiufu_d3820405b5afe2_first30,110,261,113,261,12.988505747126437,30.0,17.011494252873565,True,1,10,partial_events_only
jiufu_004d48d055c457_first30,0,261,0,261,0.0,30.0,30.0,True,0,10,partial_events_only
jiufu_7b10e1dbd08a03_first30,0,89,0,86,0.0,9.885057471264368,9.885057471264368,True,0,5,partial_events_only
jiufu_7b10e1dbd08a03_first30,111,261,114,261,13.10344827586207,30.0,16.896551724137932,True,1,8,partial_events_only
jiufu_4a3dc560468965_first30,0,54,0,51,0.0,5.862068965517241,5.862068965517241,False,0,0,short_span
jiufu_4a3dc560468965_first30,77,261,80,261,9.195402298850574,30.0,20.804597701149426,True,1,9,partial_events_only
jiufu_82901a53b6079a_first30,0,85,0,82,0.0,9.425287356321839,9.425287356321839,True,0,3,partial_events_only
jiufu_82901a53b6079a_first30,106,261,109,261,12.528735632183908,30.0,17.47126436781609,True,1,6,partial_events_only
jiufu_af70c3cc180ae2_first30,0,261,0,261,0.0,30.0,30.0,True,0,9,partial_events_only
jiufu_7f3b12c4283ff8_first30,0,261,0,261,0.0,30.0,30.0,True,0,13,partial_events_only
jiufu_36d04432159cdf_first30,0,80,0,77,0.0,8.850574712643677,8.850574712643677,True,0,2,partial_events_only
jiufu_36d04432159cdf_first30,101,261,104,261,11.954022988505747,30.0,18.04597701149425,True,1,7,partial_events_only
jiufu_7beb44b12a5f36_first30,0,180,0,177,0.0,20.344827586206897,20.344827586206897,True,0,4,partial_events_only
jiufu_7beb44b12a5f36_first30,201,261,204,261,23.448275862068964,30.0,6.551724137931035,True,1,2,partial_events_only
