cohort,arm,window_id,predicted_count,truth_count,predicted_rr_bpm,truth_rr_bpm
jiufu271,uniform,jiufu_21b4c4c26061d0_first30,15,14,30.0,28.0
jiufu271,uniform,jiufu_37333d1afc0ec2_first30,15,12,30.0,24.0
jiufu271,uniform,jiufu_b273cec8024eb2_first30,13,13,26.0,26.0
jiufu271,uniform,jiufu_d1a9a7ab944633_first30,12,17,24.0,34.0
jiufu271,uniform,jiufu_908496549f5b42_first30,6,7,12.0,14.0
jiufu271,uniform,jiufu_04fd6f8dc56a73_first30,10,11,20.0,22.0
jiufu271,uniform,jiufu_440a29cebcae1c_first30,11,13,22.0,26.0
jiufu271,uniform,jiufu_e2821e37ff899d_first30,19,13,38.0,26.0
jiufu271,uniform,jiufu_b80d393ca25ef8_first30,5,4,10.0,8.0
jiufu271,uniform,jiufu_adb9b6776eb349_first30,19,21,38.0,42.0
jiufu271,uniform,jiufu_d837d576df8e43_first30,9,8,18.0,16.0
jiufu271,uniform,jiufu_281bc808f4d3ff_first30,9,13,18.0,26.0
jiufu271,uniform,jiufu_4206de92a27bce_first30,15,14,30.0,28.0
jiufu271,uniform,jiufu_43743cb152c168_first30,13,15,26.0,30.0
jiufu271,uniform,jiufu_d7498380edb383_first30,12,12,24.0,24.0
jiufu271,uniform,jiufu_512d98136d6412_first30,14,14,28.0,28.0
jiufu271,uniform,jiufu_1b1d8d9b6faec7_first30,11,14,22.0,28.0
jiufu271,uniform,jiufu_1a11fc33fcb6cf_first30,14,14,28.0,28.0
jiufu271,uniform,jiufu_993a2261c33ae0_first30,15,16,30.0,32.0
jiufu271,uniform,jiufu_15023a4d62f18e_first30,24,24,48.0,48.0
jiufu271,uniform,jiufu_bcea2687a6b788_first30,15,21,30.0,42.0
jiufu271,uniform,jiufu_fe965ff4644d07_first30,14,14,28.0,28.0
jiufu271,uniform,jiufu_f6bca344b2c8ce_first30,18,13,36.0,26.0
jiufu271,uniform,jiufu_ce6ff507b22ee9_first30,18,11,36.0,22.0
jiufu271,uniform,jiufu_075ed4d93c9959_first30,9,11,18.0,22.0
jiufu271,uniform,jiufu_234cbf6b627421_first30,4,20,8.0,40.0
jiufu271,uniform,jiufu_0f85cab7ac58ae_first30,15,16,30.0,32.0
jiufu271,uniform,jiufu_55441b4c6fe974_first30,13,12,26.0,24.0
jiufu271,uniform,jiufu_d074036ef96d31_first30,14,13,28.0,26.0
jiufu271,uniform,jiufu_cdaa16888fda03_first30,9,9,18.0,18.0
jiufu271,uniform,jiufu_b7ed63dc0d8295_first30,15,11,30.0,22.0
jiufu271,uniform,jiufu_9ddfe0afe06424_first30,13,15,26.0,30.0
lindian49,native,16170075_anchored_30s,27,28,53.90309956893412,55.89951066407982
lindian49,native,170272_anchored_30s,26,24,51.969079532374295,47.97145802988396
lindian49,native,170333_anchored_30s,20,16,39.94370416501794,31.95496333201435
lindian49,native,170334_anchored_30s,18,18,36.04975059920969,36.04975059920969
