file_id,source_path,bytes,sha256_full,scope
jiufu_8c114c09325c47,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083719-1574.MP4,14216046,cfdadef108a4a7132fa7427f10deed8cc6383bf0f563b538aaf974060d0f43b1,full_file_identity_not_visual_near_duplicate_detection
jiufu_494e84a71f0d53,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083924-1268.MP4,7174437,87e60da87c860e23740dfbc5a8f157bca6dd32c4e15eb133b0519a2d1e36e09a,full_file_identity_not_visual_near_duplicate_detection
jiufu_ce59136a4ecc21,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T084037-1479.MP4,11571926,d0b1731a87c46a166eafe32b1f9ecfad53cd158bf02514df18bad6e51c2f3ea4,full_file_identity_not_visual_near_duplicate_detection
jiufu_8953d49083882b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T084011-1150.MP4,8403856,deec34ecb4b34bd8d3207f5193803af77e445fe9de4a248aa5d4c18649bf8f83,full_file_identity_not_visual_near_duplicate_detection
jiufu_5eaab17afa3dcc,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T084144-1644.MP4,6258927,8f63c3a4d9b08b03b3205442402c7189442d2af287d7a27895107ed51f939de5,full_file_identity_not_visual_near_duplicate_detection
jiufu_577eb87b4ec0fa,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T090832-1442.MP4,8874443,7b88d383d450abead5797bcd87aa324de5891f8aeda03a13dc5e726fc73e5893,full_file_identity_not_visual_near_duplicate_detection
jiufu_ac7d209f2a6aec,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T091037-214.MP4,5744358,e777f2fba5b2e04dbbbba64f9193c91619df55af1084833fda62dd806e2fc8ee,full_file_identity_not_visual_near_duplicate_detection
jiufu_f0f7415c6e495e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105437-1308.MP4,21413086,5dc86fc6a2965e384a7aa138d910c94f38bd8715aa33cf30f4c027ee353c8595,full_file_identity_not_visual_near_duplicate_detection
jiufu_45e262858c1edf,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105821-1146.MP4,9055309,bd4537a71dfabd161ba17481a42cd4cd24aa4a076e31eae716cf21d83fda60ed,full_file_identity_not_visual_near_duplicate_detection
jiufu_59f7f9462f2c30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105955-165.MP4,13135480,7b6e596f819af37c2fd00445dfbb589b4fec61867d2365aff4bd1ada625c8233,full_file_identity_not_visual_near_duplicate_detection
jiufu_1f327de387886e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T110201-1371.MP4,14131344,06664a68e006934edd8cdb2cd633e1050494858be433311c778e726a7e6011f8,full_file_identity_not_visual_near_duplicate_detection
jiufu_6454a9e613172b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T110405-A1022182.MP4,12584521,14c393db9294fb279c0cd14c96d67f21232598beeef31560e01c13bdfef7093b,full_file_identity_not_visual_near_duplicate_detection
jiufu_6328167f32f25e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T114908-1371.MP4,6671519,c2632ec86124126fa4261f41c0e0f5dabfba1920d1bc13ea30237eaf4ee22962,full_file_identity_not_visual_near_duplicate_detection
jiufu_80fa8dbe195b66,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115158-353.MP4,17279094,8aba69a8e117a98f20977364dd765a409573c765f43eda42ca2ddf4c2d84a186,full_file_identity_not_visual_near_duplicate_detection
jiufu_012d9efb7d8d4c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115451-1213.MP4,12174242,144aac92b2e81698882897c357ad5f123879b7ff6a9fb7e87c0c91ff18f5cdcd,full_file_identity_not_visual_near_duplicate_detection
jiufu_ce6835d13f136d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115945-1414.MP4,28268584,5638b582a3450d6cace8f358cb13772c37300668a4dddfb3f1b15dc30b06ea42,full_file_identity_not_visual_near_duplicate_detection
jiufu_5623dc263f1364,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120407-872.MP4,11607718,df51519b0d4f44182b08fcea13d31fdbd026474ed0d1f5ac5d2c5922e62d797e,full_file_identity_not_visual_near_duplicate_detection
jiufu_8254fd394c755d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120953-1180.MP4,11221948,248eb5674e40a8f80d4dcc321dd1312c073c87f027b295b81e9cdaf28ac0cc86,full_file_identity_not_visual_near_duplicate_detection
jiufu_33ff2c90bde0a7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121220-872.MP4,17417353,d9a86658c1508f64adc9f76ca5e2f87e556d8b31a8279d3005601a3d02c4f831,full_file_identity_not_visual_near_duplicate_detection
jiufu_c37db5cf8c7d4e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121453-1165.MP4,18075831,164a702742ae6ff85617eb2255567fcc88cbfac43e9a47b23e1ca404e89a9f9f,full_file_identity_not_visual_near_duplicate_detection
jiufu_3f44e994a4ccb7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T122439-1145.MP4,14067631,b9baf33f308c0414b3ea22cfbf4bd5b0c67f536ac579ad195b783b11a433dca8,full_file_identity_not_visual_near_duplicate_detection
jiufu_58a951a34f7249,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085430-A1022182.MP4,15568529,4ec1444af3b70ab3f8f18e4555a417e78d4635642d7f61e41e2d2c5f2bd49520,full_file_identity_not_visual_near_duplicate_detection
jiufu_8ac17622997976,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085718-1408.MP4,4681305,a5f4414b202f6745c8a997aa75bf36af3df0b1582655464c720adce6ea23538d,full_file_identity_not_visual_near_duplicate_detection
jiufu_ee2427b1f91c14,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085932-1428.MP4,15051117,ed70cd9cabe7f3ac524441246add637148d7ffdaaa207a952958e5a42077b948,full_file_identity_not_visual_near_duplicate_detection
jiufu_d40d50640e24a1,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090206-165.MP4,10104616,78d9c04a6dc43045a5ca140e078cbae366037b02d0c7cbfca696ae652fe4206d,full_file_identity_not_visual_near_duplicate_detection
jiufu_e20abde4e3a043,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090617-1422.MP4,8557192,3042fef9ca648146469ceb9ff34be600529fae9a46d622d5c052694ffea401bb,full_file_identity_not_visual_near_duplicate_detection
jiufu_6c914b8beaa069,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090931-1308.MP4,11545690,83c58869665e06e28b574e4b3883be9fd17217b448a466656d69b0f2cfe66242,full_file_identity_not_visual_near_duplicate_detection
